seq,menu,api_name,api_id,method,url,fit_type,mock_supported,tr_real,tr_mock
119,[국내주식] 시세분석,종목별 일별 대차거래추이,국내주식-135,GET,/uapi/domestic-stock/v1/quotations/daily-loan-trans,other_query,N,HHPST074500C0,모의투자 미지원
120,[국내주식] 시세분석,종목조건검색조회,국내주식-039,GET,/uapi/domestic-stock/v1/quotations/psearch-result,universe_direct,N,HHKST03900400,모의투자 미지원
121,[국내주식] 시세분석,국내주식 매물대/거래비중,국내주식-196,GET,/uapi/domestic-stock/v1/quotations/pbar-tratio,other_query,N,FHPST01130000,모의투자 미지원
122,[국내주식] 시세분석,국내기관_외국인 매매종목가집계,국내주식-037,GET,/uapi/domestic-stock/v1/quotations/foreign-institution-total,factor_bulk_or_symbol,N,FHPTJ04400000,모의투자 미지원
123,[국내주식] 시세분석,관심종목 그룹별 종목조회,국내주식-203,GET,/uapi/domestic-stock/v1/quotations/intstock-stocklist-by-group,other_query,N,HHKCM113004C6,모의투자 미지원
124,[국내주식] 시세분석,주식현재가 회원사 종목매매동향,국내주식-197,GET,/uapi/domestic-stock/v1/quotations/inquire-member-daily,symbol_snapshot,N,FHPST04540000,모의투자 미지원
125,[국내주식] 시세분석,종목별 프로그램매매추이(일별),국내주식-113,GET,/uapi/domestic-stock/v1/quotations/program-trade-by-stock-daily,other_query,N,FHPPG04650201,모의투자 미지원
126,[국내주식] 시세분석,관심종목 그룹조회,국내주식-204,GET,/uapi/domestic-stock/v1/quotations/intstock-grouplist,other_query,N,HHKCM113004C7,모의투자 미지원
127,[국내주식] 시세분석,종목별 외인기관 추정가집계,v1_국내주식-046,GET,/uapi/domestic-stock/v1/quotations/investor-trend-estimate,factor_bulk_or_symbol,N,HHPTJ04160200,모의투자 미지원
128,[국내주식] 시세분석,종목별일별매수매도체결량,v1_국내주식-056,GET,/uapi/domestic-stock/v1/quotations/inquire-daily-trade-volume,symbol_snapshot,N,FHKST03010800,모의투자 미지원
129,[국내주식] 시세분석,국내주식 체결금액별 매매비중,국내주식-192,GET,/uapi/domestic-stock/v1/quotations/tradprt-byamt,symbol_snapshot,N,FHKST111900C0,모의투자 미지원
