menu,api_name,api_id,method,url,tr_real,tr_mock
[국내주식] 순위분석,국내주식 체결강도 상위,v1_국내주식-101,GET,/uapi/domestic-stock/v1/ranking/volume-power,FHPST01680000,모의투자 미지원
[국내주식] 순위분석,국내주식 호가잔량 순위,국내주식-089,GET,/uapi/domestic-stock/v1/ranking/quote-balance,FHPST01720000,모의투자 미지원
[국내주식] 시세분석,관심종목 그룹별 종목조회,국내주식-203,GET,/uapi/domestic-stock/v1/quotations/intstock-stocklist-by-group,HHKCM113004C6,모의투자 미지원
[국내주식] 시세분석,관심종목 그룹조회,국내주식-204,GET,/uapi/domestic-stock/v1/quotations/intstock-grouplist,HHKCM113004C7,모의투자 미지원
[국내주식] 시세분석,관심종목(멀티종목) 시세조회,국내주식-205,GET,/uapi/domestic-stock/v1/quotations/intstock-multprice,FHKST11300006,모의투자 미지원
[국내주식] 시세분석,국내 증시자금 종합,국내주식-193,GET,/uapi/domestic-stock/v1/quotations/mktfunds,FHKST649100C0,모의투자 미지원
[국내주식] 시세분석,국내기관_외국인 매매종목가집계,국내주식-037,GET,/uapi/domestic-stock/v1/quotations/foreign-institution-total,FHPTJ04400000,모의투자 미지원
[국내주식] 시세분석,국내주식 공매도 일별추이,국내주식-134,GET,/uapi/domestic-stock/v1/quotations/daily-short-sale,FHPST04830000,모의투자 미지원
[국내주식] 시세분석,국내주식 매물대/거래비중,국내주식-196,GET,/uapi/domestic-stock/v1/quotations/pbar-tratio,FHPST01130000,모의투자 미지원
[국내주식] 시세분석,국내주식 상하한가 포착,국내주식-190,GET,/uapi/domestic-stock/v1/quotations/capture-uplowprice,FHKST130000C0,모의투자 미지원
[국내주식] 시세분석,국내주식 시간외예상체결등락률,국내주식-140,GET,/uapi/domestic-stock/v1/ranking/overtime-exp-trans-fluct,FHKST11860000,모의투자 미지원
[국내주식] 시세분석,국내주식 신용잔고 일별추이,국내주식-110,GET,/uapi/domestic-stock/v1/quotations/daily-credit-balance,FHPST04760000,모의투자 미지원
[국내주식] 시세분석,국내주식 예상체결가 추이,국내주식-118,GET,/uapi/domestic-stock/v1/quotations/exp-price-trend,FHPST01810000,모의투자 미지원
[국내주식] 시세분석,국내주식 체결금액별 매매비중,국내주식-192,GET,/uapi/domestic-stock/v1/quotations/tradprt-byamt,FHKST111900C0,모의투자 미지원
[국내주식] 시세분석,시장별 투자자매매동향(시세),v1_국내주식-074,GET,/uapi/domestic-stock/v1/quotations/inquire-investor-time-by-market,FHPTJ04030000,모의투자 미지원
[국내주식] 시세분석,시장별 투자자매매동향(일별),국내주식-075,GET,/uapi/domestic-stock/v1/quotations/inquire-investor-daily-by-market,FHPTJ04040000,모의투자 미지원
[국내주식] 시세분석,외국계 매매종목 가집계,국내주식-161,GET,/uapi/domestic-stock/v1/quotations/frgnmem-trade-estimate,FHKST644100C0,모의투자 미지원
[국내주식] 시세분석,종목별 외국계 순매수추이,국내주식-164,GET,/uapi/domestic-stock/v1/quotations/frgnmem-pchs-trend,FHKST644400C0,모의투자 미지원
[국내주식] 시세분석,종목별 외인기관 추정가집계,v1_국내주식-046,GET,/uapi/domestic-stock/v1/quotations/investor-trend-estimate,HHPTJ04160200,모의투자 미지원
[국내주식] 시세분석,종목별 일별 대차거래추이,국내주식-135,GET,/uapi/domestic-stock/v1/quotations/daily-loan-trans,HHPST074500C0,모의투자 미지원
[국내주식] 시세분석,종목별 투자자매매동향(일별),종목별 투자자매매동향(일별),GET,/uapi/domestic-stock/v1/quotations/investor-trade-by-stock-daily,FHPTJ04160001,모의투자 미지원
[국내주식] 시세분석,종목별 프로그램매매추이(일별),국내주식-113,GET,/uapi/domestic-stock/v1/quotations/program-trade-by-stock-daily,FHPPG04650201,모의투자 미지원
[국내주식] 시세분석,종목별 프로그램매매추이(체결),v1_국내주식-044,GET,/uapi/domestic-stock/v1/quotations/program-trade-by-stock,FHPPG04650101,모의투자 미지원
[국내주식] 시세분석,종목별일별매수매도체결량,v1_국내주식-056,GET,/uapi/domestic-stock/v1/quotations/inquire-daily-trade-volume,FHKST03010800,모의투자 미지원
[국내주식] 시세분석,종목조건검색 목록조회,국내주식-038,GET,/uapi/domestic-stock/v1/quotations/psearch-title,HHKST03900300,모의투자 미지원
[국내주식] 시세분석,종목조건검색조회,국내주식-039,GET,/uapi/domestic-stock/v1/quotations/psearch-result,HHKST03900400,모의투자 미지원
[국내주식] 시세분석,주식현재가 회원사 종목매매동향,국내주식-197,GET,/uapi/domestic-stock/v1/quotations/inquire-member-daily,FHPST04540000,모의투자 미지원
[국내주식] 시세분석,프로그램매매 종합현황(시간),국내주식-114,GET,/uapi/domestic-stock/v1/quotations/comp-program-trade-today,FHPPG04600101,모의투자 미지원
[국내주식] 시세분석,프로그램매매 종합현황(일별),국내주식-115,GET,/uapi/domestic-stock/v1/quotations/comp-program-trade-daily,FHPPG04600001,모의투자 미지원
[국내주식] 시세분석,프로그램매매 투자자매매동향(당일),국내주식-116,GET,/uapi/domestic-stock/v1/quotations/investor-program-trade-today,HHPPG046600C1,모의투자 미지원
[국내주식] 실시간시세,국내주식 장운영정보 (NXT),국내주식 장운영정보 (NXT),POST,/tryitout/H0NXMKO0,H0NXMKO0,모의투자 미지원
[국내주식] 실시간시세,국내주식 장운영정보 (통합),국내주식 장운영정보 (통합),POST,/tryitout/H0UNMKO0,H0UNMKO0,모의투자 미지원
[국내주식] 업종/기타,국내선물 영업일조회,국내주식-160,GET,/uapi/domestic-stock/v1/quotations/market-time,HHMCM000002C0,모의투자 미지원
[국내주식] 업종/기타,국내업종 구분별전체시세,v1_국내주식-066,GET,/uapi/domestic-stock/v1/quotations/inquire-index-category-price,FHPUP02140000,모의투자 미지원
